bairro;casos;latitude_cluster;longitude_cluster;idade_media;idade_minima;idade_maxima;casos_por_ano;valor_total_sus;ceps;fonte_localizacao;consulta_localizacao;resultado_osm
Jardim Parque Residencial;1;-22.374503;-47.551269;58.0;58;58;"{""2025"": 1}";428.64;13506121;OpenStreetMap/Photon;Avenida 84 A, Jardim Parque Residencial, Rio Claro, São Paulo, Brasil;Condomínio Parque das Árvores, Avenida 84 A, Jardim Parque Residencial, Rio Claro
Jardim Paulista;2;-22.418387;-47.582107;71.0;58;84;"{""2021"": 1, ""2022"": 1}";3818.96;13503538, 13503540;OpenStreetMap/Photon;Jardim Paulista, Rio Claro, São Paulo, Brasil;Jardim Paulista, Jardim Centenário, Rio Claro
Jardim Paulista II;2;-22.419724;-47.582571;50.0;44;56;"{""2025"": 2}";4132.77;13504307, 13504310;OpenStreetMap/Photon;Rua 25, Jardim Paulista II, Rio Claro, São Paulo, Brasil;Residencial Jardim Paulista, Rua 30, Jardim Paulista, Rio Claro
Jardim Portugal;2;-22.388612;-47.567909;69.5;64;75;"{""2021"": 1, ""2025"": 1}";7564.45;13504070;OpenStreetMap/Photon;Jardim Portugal, Rio Claro, São Paulo, Brasil;Jardim Portugal, Santana, Rio Claro
Jardim Primavera;3;-22.374532;-47.550355;73.3;68;84;"{""2021"": 1, ""2023"": 2}";8910.55;13504050, 13504060;OpenStreetMap/Photon;Avenida 46, Jardim Primavera, Rio Claro, São Paulo, Brasil;Condominio Residencial Primavera, Avenida 80 A, Distrito Indústrial, Rio Claro
Jardim Progresso;1;-22.370357;-47.58158;65.0;65;65;"{""2025"": 1}";2676.99;13505531;OpenStreetMap/Photon;Jardim Progresso, Rio Claro, São Paulo, Brasil;Jardim Progresso II, Jardim Panorama, Rio Claro
Jardim Residencial das Palmeiras;12;-22.441312;-47.582215;60.6;37;77;"{""2021"": 2, ""2022"": 3, ""2024"": 5, ""2025"": 2}";34412.96;13502100, 13502112, 13502115, 13502120, 13502170, 13502180, 13502191;OpenStreetMap/Photon;Avenida dos Costas, Jardim Residencial das Palmeiras, Rio Claro, São Paulo, Brasil;Condomínio Residencial Reserva das Palmeiras, Estrada dos Costas, Jardim Residencial das Palmeiras, Rio Claro
Jardim Residencial Santa Eliza;2;-22.397356;-47.589656;74.0;73;75;"{""2022"": 1, ""2024"": 1}";4009.34;13504605, 13504617;OpenStreetMap/Photon;Rua 26 SE, Jardim Residencial Santa Eliza, Rio Claro, São Paulo, Brasil;Rua 26 SE, Jardim Residencial Santa Eliza, Rio Claro
Jardim Residencial São José;4;-22.378777;-47.580672;54.2;49;60;"{""2022"": 1, ""2024"": 2, ""2025"": 1}";6495.03;13505491, 13505493, 13505500;OpenStreetMap/Photon;Avenida M 45, Jardim Residencial São José, Rio Claro, São Paulo, Brasil;Centro Municipal de Convivência Jardim São José, Avenida M Quarenta e Três, Jardim Panorama, Rio Claro
Jardim Rio Claro;1;-22.421735;-47.573688;75.0;75;75;"{""2022"": 1}";531.41;13503751;OpenStreetMap/Photon;Rua 21, Jardim Rio Claro, Rio Claro, São Paulo, Brasil;Rua 21, Jardim Centenário, Rio Claro
